2017-02-04T15:54:43-05:00,1486241683777,0,G5,4,stimulus_infreq
2017-02-04T15:54:45-05:00,1486241685487,0,F4,2,stimulus_freq
2017-02-04T15:54:47-05:00,1486241687010,0,F4,2,stimulus_freq
2017-02-04T15:54:49-05:00,1486241689545,0,F4,2,stimulus_freq
2017-02-04T15:54:51-05:00,1486241691488,0,F4,2,stimulus_freq
2017-02-04T15:54:44-05:00,1486241684929,1,0,32,response_freq
2017-02-04T15:54:46-05:00,1486241686511,2,0,64,response_infreq
2017-02-04T15:54:48-05:00,1486241688152,1,0,32,response_freq
2017-02-04T15:54:49-05:00,1486241689595,2,0,64,response_infreq
2017-02-04T15:54:50-05:00,1486241690669,1,0,32,response_freq
2017-02-04T15:54:51-05:00,1486241691917,2,0,64,response_infreq
