,time,ecode,label,latency
0,2017-02-04T16:03:58-05:00,2,stimulus_freq,15863.0
17,2017-02-04T16:03:59-05:00,32,response_freq,16390.0
1,2017-02-04T16:04:00-05:00,2,stimulus_freq,18054.0
18,2017-02-04T16:04:01-05:00,32,response_freq,18545.0
2,2017-02-04T16:04:02-05:00,2,stimulus_freq,20022.0
19,2017-02-04T16:04:03-05:00,32,response_freq,20483.0
3,2017-02-04T16:04:04-05:00,2,stimulus_freq,22105.0
20,2017-02-04T16:04:05-05:00,32,response_freq,22479.0
21,2017-02-04T16:04:07-05:00,32,response_freq,24760.0
4,2017-02-04T16:04:07-05:00,2,stimulus_freq,24303.0
22,2017-02-04T16:04:09-05:00,64,response_infreq,26810.0
5,2017-02-04T16:04:09-05:00,4,stimulus_infreq,26309.0
23,2017-02-04T16:04:11-05:00,32,response_freq,28745.0
6,2017-02-04T16:04:11-05:00,2,stimulus_freq,28220.0
7,2017-02-04T16:04:12-05:00,2,stimulus_freq,29590.0
24,2017-02-04T16:04:12-05:00,32,response_freq,30078.0
25,2017-02-04T16:04:14-05:00,64,response_infreq,32068.0
8,2017-02-04T16:04:14-05:00,4,stimulus_infreq,31544.0
9,2017-02-04T16:04:16-05:00,2,stimulus_freq,33310.0
26,2017-02-04T16:04:16-05:00,32,response_freq,33771.0
27,2017-02-04T16:04:18-05:00,32,response_freq,35692.0
10,2017-02-04T16:04:18-05:00,2,stimulus_freq,35285.0
28,2017-02-04T16:04:20-05:00,32,response_freq,37998.0
11,2017-02-04T16:04:20-05:00,2,stimulus_freq,37552.0
12,2017-02-04T16:04:22-05:00,2,stimulus_freq,39836.0
29,2017-02-04T16:04:23-05:00,32,response_freq,40321.0
13,2017-02-04T16:04:24-05:00,2,stimulus_freq,42107.0
30,2017-02-04T16:04:25-05:00,32,response_freq,42587.0
14,2017-02-04T16:04:26-05:00,4,stimulus_infreq,44045.0
31,2017-02-04T16:04:27-05:00,64,response_infreq,44518.0
15,2017-02-04T16:04:28-05:00,2,stimulus_freq,45793.0
32,2017-02-04T16:04:29-05:00,32,response_freq,46288.0
16,2017-02-04T16:04:30-05:00,2,stimulus_freq,47267.0
33,2017-02-04T16:04:30-05:00,32,response_freq,47702.0
