,ecode,label,latency
0,2,stimulus_freq,15863.0
17,32,response_freq,16390.0
1,2,stimulus_freq,18054.0
18,32,response_freq,18545.0
2,2,stimulus_freq,20022.0
19,32,response_freq,20483.0
3,2,stimulus_freq,22105.0
20,32,response_freq,22479.0
21,32,response_freq,24760.0
4,2,stimulus_freq,24303.0
22,64,response_infreq,26810.0
5,4,stimulus_infreq,26309.0
23,32,response_freq,28745.0
6,2,stimulus_freq,28220.0
7,2,stimulus_freq,29590.0
24,32,response_freq,30078.0
25,64,response_infreq,32068.0
8,4,stimulus_infreq,31544.0
9,2,stimulus_freq,33310.0
26,32,response_freq,33771.0
27,32,response_freq,35692.0
10,2,stimulus_freq,35285.0
28,32,response_freq,37998.0
11,2,stimulus_freq,37552.0
12,2,stimulus_freq,39836.0
29,32,response_freq,40321.0
13,2,stimulus_freq,42107.0
30,32,response_freq,42587.0
14,4,stimulus_infreq,44045.0
31,64,response_infreq,44518.0
15,2,stimulus_freq,45793.0
32,32,response_freq,46288.0
16,2,stimulus_freq,47267.0
33,32,response_freq,47702.0
