,type,label,latency
0,254,start experiment,527888.0
1,4,stimulus_freq,530897.0
2,8,response_freq,531501.0
3,4,stimulus_freq,532980.0
4,8,response_freq,533720.0
5,4,stimulus_freq,535229.0
6,8,response_freq,535827.0
7,4,stimulus_freq,537552.0
8,8,response_freq,538102.0
9,4,stimulus_freq,539880.0
10,8,response_freq,540440.0
11,4,stimulus_freq,541467.0
12,8,response_freq,542120.0
13,4,stimulus_freq,543367.0
14,8,response_freq,543930.0
15,4,stimulus_freq,545600.0
16,8,response_freq,546133.0
17,4,stimulus_freq,547206.0
18,8,response_freq,547776.0
19,4,stimulus_freq,549003.0
20,8,response_freq,549482.0
21,6,stimulus_infreq,551370.0
22,10,response_infreq,551893.0
23,4,stimulus_freq,553730.0
24,8,response_freq,554364.0
25,4,stimulus_freq,555813.0
26,8,response_freq,556368.0
27,4,stimulus_freq,557702.0
28,8,response_freq,558255.0
29,4,stimulus_freq,559207.0
30,8,response_freq,559708.0
31,4,stimulus_freq,560738.0
32,8,response_freq,561264.0
33,4,stimulus_freq,562612.0
34,8,response_freq,563090.0
35,4,stimulus_freq,564746.0
36,8,response_freq,565341.0
37,4,stimulus_freq,566547.0
38,8,response_freq,567110.0
39,4,stimulus_freq,568923.0
40,8,response_freq,569438.0
41,6,stimulus_infreq,571052.0
42,10,response_infreq,571573.0
43,4,stimulus_freq,573007.0
44,8,response_freq,573614.0
45,4,stimulus_freq,574778.0
46,8,response_freq,575375.0
47,6,stimulus_infreq,576402.0
48,8,response_freq,576970.0
49,10,response_infreq,577287.0
50,4,stimulus_freq,578368.0
51,8,response_freq,579324.0
52,4,stimulus_freq,580001.0
53,8,response_freq,580720.0
54,4,stimulus_freq,582370.0
55,8,response_freq,582982.0
56,4,stimulus_freq,584574.0
57,8,response_freq,585194.0
58,4,stimulus_freq,586747.0
59,8,response_freq,587316.0
60,4,stimulus_freq,588652.0
61,8,response_freq,589255.0
62,4,stimulus_freq,591062.0
63,8,response_freq,591619.0
64,4,stimulus_freq,592866.0
65,8,response_freq,593445.0
66,4,stimulus_freq,595039.0
67,8,response_freq,595592.0
68,4,stimulus_freq,597088.0
69,8,response_freq,597573.0
70,4,stimulus_freq,598852.0
71,8,response_freq,599342.0
72,4,stimulus_freq,600739.0
73,8,response_freq,601303.0
74,6,stimulus_infreq,602363.0
75,10,response_infreq,602900.0
76,4,stimulus_freq,603814.0
77,8,response_freq,604418.0
78,4,stimulus_freq,605991.0
79,8,response_freq,606526.0
80,4,stimulus_freq,608376.0
81,8,response_freq,608969.0
82,4,stimulus_freq,610689.0
83,8,response_freq,611314.0
84,4,stimulus_freq,613078.0
85,8,response_freq,613643.0
86,4,stimulus_freq,614630.0
87,8,response_freq,615195.0
88,4,stimulus_freq,616013.0
89,8,response_freq,616547.0
90,4,stimulus_freq,618496.0
91,8,response_freq,619015.0
92,4,stimulus_freq,620189.0
93,8,response_freq,620688.0
94,4,stimulus_freq,622616.0
95,8,response_freq,623142.0
96,4,stimulus_freq,624528.0
97,8,response_freq,625053.0
98,6,stimulus_infreq,626288.0
99,10,response_infreq,626838.0
100,4,stimulus_freq,628297.0
101,8,response_freq,629038.0
102,4,stimulus_freq,629497.0
103,8,response_freq,630097.0
104,4,stimulus_freq,631205.0
105,8,response_freq,631823.0
106,4,stimulus_freq,633314.0
107,8,response_freq,633883.0
108,4,stimulus_freq,635303.0
109,8,response_freq,635894.0
110,4,stimulus_freq,637414.0
111,8,response_freq,637945.0
112,4,stimulus_freq,639606.0
113,8,response_freq,640211.0
114,6,stimulus_infreq,641861.0
115,10,response_infreq,642427.0
116,4,stimulus_freq,643582.0
117,8,response_freq,644185.0
118,4,stimulus_freq,645430.0
119,8,response_freq,646036.0
120,4,stimulus_freq,647390.0
121,8,response_freq,647953.0
122,4,stimulus_freq,649449.0
123,8,response_freq,650005.0
124,4,stimulus_freq,651161.0
125,8,response_freq,651585.0
126,4,stimulus_freq,653391.0
127,8,response_freq,653942.0
128,6,stimulus_infreq,655811.0
129,10,response_infreq,656322.0
130,4,stimulus_freq,657753.0
131,8,response_freq,658295.0
132,4,stimulus_freq,659863.0
133,8,response_freq,660432.0
134,4,stimulus_freq,661341.0
135,8,response_freq,661934.0
136,4,stimulus_freq,663293.0
137,8,response_freq,663801.0
138,4,stimulus_freq,665352.0
139,8,response_freq,665883.0
140,4,stimulus_freq,667108.0
141,8,response_freq,667624.0
142,4,stimulus_freq,669142.0
143,8,response_freq,669617.0
144,4,stimulus_freq,671437.0
145,8,response_freq,671876.0
146,6,stimulus_infreq,673293.0
147,10,response_infreq,673889.0
148,4,stimulus_freq,675074.0
149,8,response_freq,675600.0
150,4,stimulus_freq,676987.0
151,8,response_freq,677511.0
152,4,stimulus_freq,678852.0
153,8,response_freq,679353.0
154,4,stimulus_freq,681116.0
155,8,response_freq,681678.0
156,4,stimulus_freq,683299.0
157,8,response_freq,683859.0
158,4,stimulus_freq,685490.0
159,8,response_freq,685998.0
160,4,stimulus_freq,687161.0
161,8,response_freq,687694.0
162,4,stimulus_freq,689898.0
163,8,response_freq,690473.0
164,4,stimulus_freq,691901.0
