type,latency
254,143669.0
4,146676.0
8,147285.0
4,148793.0
8,149260.0
4,150592.0
8,151060.0
6,152625.0
10,153099.0
4,154414.0
8,154921.0
4,156145.0
8,156644.0
4,158109.0
8,158587.0
4,159987.0
8,160514.0
4,162100.0
8,162604.0
4,164524.0
8,164956.0
4,166839.0
8,167282.0
4,169379.0
8,169811.0
4,172094.0
8,172460.0
4,173822.0
8,174254.0
4,175390.0
8,175922.0
4,177385.0
8,177920.0
4,179308.0
8,179845.0
4,181066.0
8,181675.0
4,183016.0
8,183948.0
4,185568.0
8,186133.0
6,187463.0
10,188072.0
4,188903.0
8,189539.0
4,191183.0
8,191678.0
4,193860.0
8,194341.0
4,195670.0
8,196210.0
4,197642.0
8,198144.0
4,200013.0
8,200516.0
4,201876.0
8,202373.0
4,203934.0
8,204443.0
4,206159.0
8,206604.0
6,208827.0
10,209362.0
4,210602.0
8,211207.0
4,213254.0
8,213733.0
6,214850.0
10,215380.0
4,216573.0
8,217159.0
4,218867.0
8,219311.0
4,221029.0
8,221472.0
4,223269.0
8,223801.0
4,225395.0
8,225788.0
4,226957.0
8,227477.0
4,229315.0
8,229815.0
4,231723.0
8,232287.0
4,233852.0
8,234383.0
4,236023.0
8,236603.0
4,238333.0
8,239158.0
4,240179.0
8,240797.0
6,242987.0
10,243586.0
4,244416.0
8,245000.0
4,246664.0
8,247276.0
4,248716.0
8,249381.0
4,251054.0
8,251604.0
6,253237.0
10,253774.0
4,255418.0
8,255962.0
4,257601.0
8,258080.0
4,259751.0
8,260330.0
4,261463.0
8,262045.0
4,262963.0
8,263519.0
4,264852.0
8,265462.0
4,267296.0
8,267931.0
4,269451.0
8,269979.0
4,271610.0
8,272123.0
4,273578.0
8,274099.0
4,275437.0
8,275969.0
4,277373.0
8,277831.0
4,279347.0
8,279839.0
4,281326.0
8,281781.0
6,282762.0
10,283339.0
4,284774.0
8,285380.0
4,286348.0
8,286845.0
4,288132.0
8,288635.0
4,290736.0
8,291168.0
4,292236.0
8,292725.0
4,294391.0
8,294858.0
4,296254.0
8,296797.0
4,297757.0
8,298307.0
4,299441.0
8,299954.0
6,301736.0
10,302295.0
4,304059.0
8,304618.0
4,306411.0
8,306859.0
4,308325.0
8,308761.0
4,310099.0
8,310564.0
4,312138.0
8,312553.0
6,313962.0
10,314543.0
4,315952.0
8,316451.0
4,317940.0
8,318559.0
4,320297.0
8,320813.0
4,322883.0
8,323373.0
4,324809.0
8,325326.0
4,326890.0
8,327391.0
4,329368.0
8,329893.0
4,331818.0
8,332359.0
4,333705.0
8,334225.0
4,335581.0
8,336145.0
4,337335.0
8,337869.0
4,339339.0
8,339834.0
6,341206.0
10,341737.0
4,343644.0
8,344202.0
4,345728.0
8,346325.0
4,347977.0
8,348450.0
4,349548.0
8,350005.0
4,351746.0
8,352255.0
4,353929.0
8,354413.0
4,356537.0
8,357035.0
4,358043.0
8,358440.0
4,359758.0
8,360314.0
4,362344.0
8,362823.0
6,363664.0
10,364099.0
4,365688.0
8,366277.0
4,367660.0
8,368167.0
4,369335.0
8,369791.0
4,370511.0
8,371015.0
4,372473.0
8,372973.0
4,374467.0
8,374971.0
4,375906.0
8,376376.0
6,378076.0
10,378637.0
4,379762.0
8,380267.0
4,381513.0
8,382021.0
4,383269.0
8,383674.0
4,385040.0
8,385470.0
4,387359.0
8,387968.0
4,389847.0
8,390410.0
4,391838.0
8,392358.0
4,393531.0
8,393986.0
6,395394.0
10,395963.0
4,397300.0
8,397934.0
4,399540.0
8,400024.0
4,401228.0
8,401703.0
4,403323.0
8,403950.0
4,405377.0
8,405896.0
4,407604.0
8,408092.0
4,409919.0
8,410469.0
4,411672.0
8,412260.0
4,414216.0
8,414779.0
4,416413.0
8,416922.0
4,418459.0
8,418931.0
4,420709.0
8,421219.0
4,422902.0
8,423464.0
4,425370.0
8,425950.0
4,427495.0
8,428013.0
6,429092.0
10,429666.0
4,431281.0
8,431819.0
6,433585.0
8,434076.0
10,434186.0
4,435335.0
8,436126.0
4,437084.0
8,437662.0
4,439380.0
8,440000.0
4,441077.0
8,441625.0
4,442724.0
8,443178.0
4,444866.0
8,445440.0
4,446925.0
8,447496.0
4,448711.0
8,449201.0
4,450553.0
8,451096.0
6,452912.0
10,453505.0
4,455109.0
8,455767.0
4,457297.0
8,457810.0
4,458953.0
8,459426.0
4,461259.0
8,461706.0
4,463073.0
8,463514.0
4,465354.0
8,465836.0
4,467480.0
8,468045.0
4,470071.0
8,470750.0
4,471789.0
8,472384.0
4,473786.0
8,474396.0
4,476219.0
8,476817.0
255,478317.0
