,type,label,latency
0,254,start experiment,143669.0
1,4,stimulus_freq,146676.0
2,8,response_freq,147285.0
3,4,stimulus_freq,148793.0
4,8,response_freq,149260.0
5,4,stimulus_freq,150592.0
6,8,response_freq,151060.0
7,6,stimulus_infreq,152625.0
8,10,response_infreq,153099.0
9,4,stimulus_freq,154414.0
10,8,response_freq,154921.0
11,4,stimulus_freq,156145.0
12,8,response_freq,156644.0
13,4,stimulus_freq,158109.0
14,8,response_freq,158587.0
15,4,stimulus_freq,159987.0
16,8,response_freq,160514.0
17,4,stimulus_freq,162100.0
18,8,response_freq,162604.0
19,4,stimulus_freq,164524.0
20,8,response_freq,164956.0
21,4,stimulus_freq,166839.0
22,8,response_freq,167282.0
23,4,stimulus_freq,169379.0
24,8,response_freq,169811.0
25,4,stimulus_freq,172094.0
26,8,response_freq,172460.0
27,4,stimulus_freq,173822.0
28,8,response_freq,174254.0
29,4,stimulus_freq,175390.0
30,8,response_freq,175922.0
31,4,stimulus_freq,177385.0
32,8,response_freq,177920.0
33,4,stimulus_freq,179308.0
34,8,response_freq,179845.0
35,4,stimulus_freq,181066.0
36,8,response_freq,181675.0
37,4,stimulus_freq,183016.0
38,8,response_freq,183948.0
39,4,stimulus_freq,185568.0
40,8,response_freq,186133.0
41,6,stimulus_infreq,187463.0
42,10,response_infreq,188072.0
43,4,stimulus_freq,188903.0
44,8,response_freq,189539.0
45,4,stimulus_freq,191183.0
46,8,response_freq,191678.0
47,4,stimulus_freq,193860.0
48,8,response_freq,194341.0
49,4,stimulus_freq,195670.0
50,8,response_freq,196210.0
51,4,stimulus_freq,197642.0
52,8,response_freq,198144.0
53,4,stimulus_freq,200013.0
54,8,response_freq,200516.0
55,4,stimulus_freq,201876.0
56,8,response_freq,202373.0
57,4,stimulus_freq,203934.0
58,8,response_freq,204443.0
59,4,stimulus_freq,206159.0
60,8,response_freq,206604.0
61,6,stimulus_infreq,208827.0
62,10,response_infreq,209362.0
63,4,stimulus_freq,210602.0
64,8,response_freq,211207.0
65,4,stimulus_freq,213254.0
66,8,response_freq,213733.0
67,6,stimulus_infreq,214850.0
68,10,response_infreq,215380.0
69,4,stimulus_freq,216573.0
70,8,response_freq,217159.0
71,4,stimulus_freq,218867.0
72,8,response_freq,219311.0
73,4,stimulus_freq,221029.0
74,8,response_freq,221472.0
75,4,stimulus_freq,223269.0
76,8,response_freq,223801.0
77,4,stimulus_freq,225395.0
78,8,response_freq,225788.0
79,4,stimulus_freq,226957.0
80,8,response_freq,227477.0
81,4,stimulus_freq,229315.0
82,8,response_freq,229815.0
83,4,stimulus_freq,231723.0
84,8,response_freq,232287.0
85,4,stimulus_freq,233852.0
86,8,response_freq,234383.0
87,4,stimulus_freq,236023.0
88,8,response_freq,236603.0
89,4,stimulus_freq,238333.0
90,8,response_freq,239158.0
91,4,stimulus_freq,240179.0
92,8,response_freq,240797.0
93,6,stimulus_infreq,242987.0
94,10,response_infreq,243586.0
95,4,stimulus_freq,244416.0
96,8,response_freq,245000.0
97,4,stimulus_freq,246664.0
98,8,response_freq,247276.0
99,4,stimulus_freq,248716.0
100,8,response_freq,249381.0
101,4,stimulus_freq,251054.0
102,8,response_freq,251604.0
103,6,stimulus_infreq,253237.0
104,10,response_infreq,253774.0
105,4,stimulus_freq,255418.0
106,8,response_freq,255962.0
107,4,stimulus_freq,257601.0
108,8,response_freq,258080.0
109,4,stimulus_freq,259751.0
110,8,response_freq,260330.0
111,4,stimulus_freq,261463.0
112,8,response_freq,262045.0
113,4,stimulus_freq,262963.0
114,8,response_freq,263519.0
115,4,stimulus_freq,264852.0
116,8,response_freq,265462.0
117,4,stimulus_freq,267296.0
118,8,response_freq,267931.0
119,4,stimulus_freq,269451.0
120,8,response_freq,269979.0
121,4,stimulus_freq,271610.0
122,8,response_freq,272123.0
123,4,stimulus_freq,273578.0
124,8,response_freq,274099.0
125,4,stimulus_freq,275437.0
126,8,response_freq,275969.0
127,4,stimulus_freq,277373.0
128,8,response_freq,277831.0
129,4,stimulus_freq,279347.0
130,8,response_freq,279839.0
131,4,stimulus_freq,281326.0
132,8,response_freq,281781.0
133,6,stimulus_infreq,282762.0
134,10,response_infreq,283339.0
135,4,stimulus_freq,284774.0
136,8,response_freq,285380.0
137,4,stimulus_freq,286348.0
138,8,response_freq,286845.0
139,4,stimulus_freq,288132.0
140,8,response_freq,288635.0
141,4,stimulus_freq,290736.0
142,8,response_freq,291168.0
143,4,stimulus_freq,292236.0
144,8,response_freq,292725.0
145,4,stimulus_freq,294391.0
146,8,response_freq,294858.0
147,4,stimulus_freq,296254.0
148,8,response_freq,296797.0
149,4,stimulus_freq,297757.0
150,8,response_freq,298307.0
151,4,stimulus_freq,299441.0
152,8,response_freq,299954.0
153,6,stimulus_infreq,301736.0
154,10,response_infreq,302295.0
155,4,stimulus_freq,304059.0
156,8,response_freq,304618.0
157,4,stimulus_freq,306411.0
158,8,response_freq,306859.0
159,4,stimulus_freq,308325.0
160,8,response_freq,308761.0
161,4,stimulus_freq,310099.0
162,8,response_freq,310564.0
163,4,stimulus_freq,312138.0
164,8,response_freq,312553.0
165,6,stimulus_infreq,313962.0
166,10,response_infreq,314543.0
167,4,stimulus_freq,315952.0
168,8,response_freq,316451.0
169,4,stimulus_freq,317940.0
170,8,response_freq,318559.0
171,4,stimulus_freq,320297.0
172,8,response_freq,320813.0
173,4,stimulus_freq,322883.0
174,8,response_freq,323373.0
175,4,stimulus_freq,324809.0
176,8,response_freq,325326.0
177,4,stimulus_freq,326890.0
178,8,response_freq,327391.0
179,4,stimulus_freq,329368.0
180,8,response_freq,329893.0
181,4,stimulus_freq,331818.0
182,8,response_freq,332359.0
183,4,stimulus_freq,333705.0
184,8,response_freq,334225.0
185,4,stimulus_freq,335581.0
186,8,response_freq,336145.0
187,4,stimulus_freq,337335.0
188,8,response_freq,337869.0
189,4,stimulus_freq,339339.0
190,8,response_freq,339834.0
191,6,stimulus_infreq,341206.0
192,10,response_infreq,341737.0
193,4,stimulus_freq,343644.0
194,8,response_freq,344202.0
195,4,stimulus_freq,345728.0
196,8,response_freq,346325.0
197,4,stimulus_freq,347977.0
198,8,response_freq,348450.0
199,4,stimulus_freq,349548.0
200,8,response_freq,350005.0
201,4,stimulus_freq,351746.0
202,8,response_freq,352255.0
203,4,stimulus_freq,353929.0
204,8,response_freq,354413.0
205,4,stimulus_freq,356537.0
206,8,response_freq,357035.0
207,4,stimulus_freq,358043.0
208,8,response_freq,358440.0
209,4,stimulus_freq,359758.0
210,8,response_freq,360314.0
211,4,stimulus_freq,362344.0
212,8,response_freq,362823.0
213,6,stimulus_infreq,363664.0
214,10,response_infreq,364099.0
215,4,stimulus_freq,365688.0
216,8,response_freq,366277.0
217,4,stimulus_freq,367660.0
218,8,response_freq,368167.0
219,4,stimulus_freq,369335.0
220,8,response_freq,369791.0
221,4,stimulus_freq,370511.0
222,8,response_freq,371015.0
223,4,stimulus_freq,372473.0
224,8,response_freq,372973.0
225,4,stimulus_freq,374467.0
226,8,response_freq,374971.0
227,4,stimulus_freq,375906.0
228,8,response_freq,376376.0
229,6,stimulus_infreq,378076.0
230,10,response_infreq,378637.0
231,4,stimulus_freq,379762.0
232,8,response_freq,380267.0
233,4,stimulus_freq,381513.0
234,8,response_freq,382021.0
235,4,stimulus_freq,383269.0
236,8,response_freq,383674.0
237,4,stimulus_freq,385040.0
238,8,response_freq,385470.0
239,4,stimulus_freq,387359.0
240,8,response_freq,387968.0
241,4,stimulus_freq,389847.0
242,8,response_freq,390410.0
243,4,stimulus_freq,391838.0
244,8,response_freq,392358.0
245,4,stimulus_freq,393531.0
246,8,response_freq,393986.0
247,6,stimulus_infreq,395394.0
248,10,response_infreq,395963.0
249,4,stimulus_freq,397300.0
250,8,response_freq,397934.0
251,4,stimulus_freq,399540.0
252,8,response_freq,400024.0
253,4,stimulus_freq,401228.0
254,8,response_freq,401703.0
255,4,stimulus_freq,403323.0
256,8,response_freq,403950.0
257,4,stimulus_freq,405377.0
258,8,response_freq,405896.0
259,4,stimulus_freq,407604.0
260,8,response_freq,408092.0
261,4,stimulus_freq,409919.0
262,8,response_freq,410469.0
263,4,stimulus_freq,411672.0
264,8,response_freq,412260.0
265,4,stimulus_freq,414216.0
266,8,response_freq,414779.0
267,4,stimulus_freq,416413.0
268,8,response_freq,416922.0
269,4,stimulus_freq,418459.0
270,8,response_freq,418931.0
271,4,stimulus_freq,420709.0
272,8,response_freq,421219.0
273,4,stimulus_freq,422902.0
274,8,response_freq,423464.0
275,4,stimulus_freq,425370.0
276,8,response_freq,425950.0
277,4,stimulus_freq,427495.0
278,8,response_freq,428013.0
279,6,stimulus_infreq,429092.0
280,10,response_infreq,429666.0
281,4,stimulus_freq,431281.0
282,8,response_freq,431819.0
283,6,stimulus_infreq,433585.0
284,8,response_freq,434076.0
285,10,response_infreq,434186.0
286,4,stimulus_freq,435335.0
287,8,response_freq,436126.0
288,4,stimulus_freq,437084.0
289,8,response_freq,437662.0
290,4,stimulus_freq,439380.0
291,8,response_freq,440000.0
292,4,stimulus_freq,441077.0
293,8,response_freq,441625.0
294,4,stimulus_freq,442724.0
295,8,response_freq,443178.0
296,4,stimulus_freq,444866.0
297,8,response_freq,445440.0
298,4,stimulus_freq,446925.0
299,8,response_freq,447496.0
300,4,stimulus_freq,448711.0
301,8,response_freq,449201.0
302,4,stimulus_freq,450553.0
303,8,response_freq,451096.0
304,6,stimulus_infreq,452912.0
305,10,response_infreq,453505.0
306,4,stimulus_freq,455109.0
307,8,response_freq,455767.0
308,4,stimulus_freq,457297.0
309,8,response_freq,457810.0
310,4,stimulus_freq,458953.0
311,8,response_freq,459426.0
312,4,stimulus_freq,461259.0
313,8,response_freq,461706.0
314,4,stimulus_freq,463073.0
315,8,response_freq,463514.0
316,4,stimulus_freq,465354.0
317,8,response_freq,465836.0
318,4,stimulus_freq,467480.0
319,8,response_freq,468045.0
320,4,stimulus_freq,470071.0
321,8,response_freq,470750.0
322,4,stimulus_freq,471789.0
323,8,response_freq,472384.0
324,4,stimulus_freq,473786.0
325,8,response_freq,474396.0
326,4,stimulus_freq,476219.0
327,8,response_freq,476817.0
328,255,stop experiment,478317.0
