isotime,unixtime,resp,tone,type,label
2017-02-05T15:08:35.467-05:00,1486325315467,0,0,254,start experiment
2017-02-05T15:08:38.478-05:00,1486325318478,0,F4,4,stimulus_freq
2017-02-05T15:08:39.036-05:00,1486325319036,1,0,8,response_freq
2017-02-05T15:08:40.117-05:00,1486325320117,0,F4,4,stimulus_freq
2017-02-05T15:08:40.537-05:00,1486325320537,1,0,8,response_freq
2017-02-05T15:08:41.656-05:00,1486325321656,0,F4,4,stimulus_freq
2017-02-05T15:08:42.002-05:00,1486325322002,1,0,8,response_freq
2017-02-05T15:08:43.795-05:00,1486325323795,0,F4,4,stimulus_freq
2017-02-05T15:08:44.137-05:00,1486325324137,1,0,8,response_freq
2017-02-05T15:08:45.866-05:00,1486325325866,0,F4,4,stimulus_freq
2017-02-05T15:08:46.286-05:00,1486325326286,1,0,8,response_freq
2017-02-05T15:08:47.206-05:00,1486325327206,0,F4,4,stimulus_freq
2017-02-05T15:08:47.567-05:00,1486325327567,1,0,8,response_freq
2017-02-05T15:08:48.988-05:00,1486325328988,0,F4,4,stimulus_freq
2017-02-05T15:08:49.307-05:00,1486325329307,1,0,8,response_freq
2017-02-05T15:08:51.159-05:00,1486325331159,0,F4,4,stimulus_freq
2017-02-05T15:08:51.412-05:00,1486325331412,1,0,8,response_freq
2017-02-05T15:08:53.162-05:00,1486325333162,0,F4,4,stimulus_freq
2017-02-05T15:08:53.450-05:00,1486325333450,1,0,8,response_freq
2017-02-05T15:08:55.199-05:00,1486325335199,0,G5,6,stimulus_infreq
2017-02-05T15:08:55.702-05:00,1486325335702,2,0,10,response_infreq
2017-02-05T15:08:57.035-05:00,1486325337036,0,F4,4,stimulus_freq
2017-02-05T15:08:57.415-05:00,1486325337415,1,0,8,response_freq
2017-02-05T15:08:58.763-05:00,1486325338763,0,F4,4,stimulus_freq
2017-02-05T15:08:59.100-05:00,1486325339101,1,0,8,response_freq
2017-02-05T15:09:00.723-05:00,1486325340723,0,F4,4,stimulus_freq
2017-02-05T15:09:01.136-05:00,1486325341137,1,0,8,response_freq
2017-02-05T15:09:02.638-05:00,1486325342638,0,F4,4,stimulus_freq
2017-02-05T15:09:03.004-05:00,1486325343004,1,0,8,response_freq
2017-02-05T15:09:03.811-05:00,1486325343811,0,G5,6,stimulus_infreq
2017-02-05T15:09:04.244-05:00,1486325344244,1,0,8,response_freq
2017-02-05T15:09:04.308-05:00,1486325344308,2,0,10,response_infreq
2017-02-05T15:09:05.509-05:00,1486325345510,0,F4,4,stimulus_freq
2017-02-05T15:09:05.921-05:00,1486325345921,1,0,8,response_freq
2017-02-05T15:09:07.364-05:00,1486325347364,0,F4,4,stimulus_freq
2017-02-05T15:09:07.665-05:00,1486325347665,1,0,8,response_freq
2017-02-05T15:09:09.436-05:00,1486325349436,0,F4,4,stimulus_freq
2017-02-05T15:09:09.696-05:00,1486325349696,1,0,8,response_freq
2017-02-05T15:09:11.265-05:00,1486325351265,0,F4,4,stimulus_freq
2017-02-05T15:09:11.643-05:00,1486325351643,1,0,8,response_freq
2017-02-05T15:09:13.333-05:00,1486325353333,0,F4,4,stimulus_freq
2017-02-05T15:09:13.765-05:00,1486325353765,1,0,8,response_freq
2017-02-05T15:09:15.909-05:00,1486325355910,0,F4,4,stimulus_freq
2017-02-05T15:09:16.323-05:00,1486325356325,1,0,8,response_freq
2017-02-05T15:09:17.473-05:00,1486325357473,0,F4,4,stimulus_freq
2017-02-05T15:09:17.875-05:00,1486325357875,2,0,10,response_infreq
2017-02-05T15:09:19.648-05:00,1486325359648,0,G5,6,stimulus_infreq
2017-02-05T15:09:20.092-05:00,1486325360092,2,0,10,response_infreq
2017-02-05T15:09:21.725-05:00,1486325361725,0,F4,4,stimulus_freq
2017-02-05T15:09:22.185-05:00,1486325362185,1,0,8,response_freq
2017-02-05T15:09:23.946-05:00,1486325363946,0,F4,4,stimulus_freq
2017-02-05T15:09:24.377-05:00,1486325364378,1,0,8,response_freq
2017-02-05T15:09:26.209-05:00,1486325366209,0,F4,4,stimulus_freq
2017-02-05T15:09:26.612-05:00,1486325366612,1,0,8,response_freq
2017-02-05T15:09:27.685-05:00,1486325367685,0,F4,4,stimulus_freq
2017-02-05T15:09:28.084-05:00,1486325368084,1,0,8,response_freq
2017-02-05T15:09:29.404-05:00,1486325369404,0,F4,4,stimulus_freq
2017-02-05T15:09:29.842-05:00,1486325369842,1,0,8,response_freq
2017-02-05T15:09:31.708-05:00,1486325371708,0,F4,4,stimulus_freq
2017-02-05T15:09:32.126-05:00,1486325372126,1,0,8,response_freq
2017-02-05T15:09:33.780-05:00,1486325373780,0,F4,4,stimulus_freq
2017-02-05T15:09:34.222-05:00,1486325374222,1,0,8,response_freq
2017-02-05T15:09:35.828-05:00,1486325375828,0,F4,4,stimulus_freq
2017-02-05T15:09:36.250-05:00,1486325376250,1,0,8,response_freq
2017-02-05T15:09:38.113-05:00,1486325378114,0,F4,4,stimulus_freq
2017-02-05T15:09:38.526-05:00,1486325378526,1,0,8,response_freq
2017-02-05T15:09:40.003-05:00,1486325380003,0,F4,4,stimulus_freq
2017-02-05T15:09:40.381-05:00,1486325380381,1,0,8,response_freq
2017-02-05T15:09:41.811-05:00,1486325381811,0,F4,4,stimulus_freq
2017-02-05T15:09:42.192-05:00,1486325382192,1,0,8,response_freq
2017-02-05T15:09:44.150-05:00,1486325384151,0,G5,6,stimulus_infreq
2017-02-05T15:09:44.651-05:00,1486325384651,2,0,10,response_infreq
2017-02-05T15:09:45.791-05:00,1486325385791,0,F4,4,stimulus_freq
2017-02-05T15:09:46.335-05:00,1486325386335,1,0,8,response_freq
2017-02-05T15:09:47.732-05:00,1486325387732,0,F4,4,stimulus_freq
2017-02-05T15:09:48.146-05:00,1486325388146,1,0,8,response_freq
2017-02-05T15:09:48.908-05:00,1486325388908,0,F4,4,stimulus_freq
2017-02-05T15:09:49.365-05:00,1486325389365,1,0,8,response_freq
2017-02-05T15:09:50.684-05:00,1486325390685,0,F4,4,stimulus_freq
2017-02-05T15:09:51.125-05:00,1486325391125,1,0,8,response_freq
2017-02-05T15:09:53.087-05:00,1486325393087,0,F4,4,stimulus_freq
2017-02-05T15:09:53.514-05:00,1486325393514,1,0,8,response_freq
2017-02-05T15:09:54.448-05:00,1486325394448,0,F4,4,stimulus_freq
2017-02-05T15:09:54.962-05:00,1486325394962,1,0,8,response_freq
2017-02-05T15:09:56.562-05:00,1486325396562,0,F4,4,stimulus_freq
2017-02-05T15:09:56.964-05:00,1486325396965,1,0,8,response_freq
2017-02-05T15:09:58.566-05:00,1486325398566,0,F4,4,stimulus_freq
2017-02-05T15:09:59.063-05:00,1486325399063,1,0,8,response_freq
2017-02-05T15:10:00.517-05:00,1486325400517,0,F4,4,stimulus_freq
2017-02-05T15:10:00.971-05:00,1486325400971,1,0,8,response_freq
2017-02-05T15:10:02.309-05:00,1486325402309,0,F4,4,stimulus_freq
2017-02-05T15:10:02.774-05:00,1486325402774,1,0,8,response_freq
2017-02-05T15:10:04.334-05:00,1486325404334,0,F4,4,stimulus_freq
2017-02-05T15:10:04.695-05:00,1486325404695,1,0,8,response_freq
2017-02-05T15:10:06.771-05:00,1486325406771,0,F4,4,stimulus_freq
2017-02-05T15:10:07.200-05:00,1486325407200,1,0,8,response_freq
2017-02-05T15:10:08.530-05:00,1486325408530,0,G5,6,stimulus_infreq
2017-02-05T15:10:08.992-05:00,1486325408993,2,0,10,response_infreq
2017-02-05T15:10:10.648-05:00,1486325410648,0,F4,4,stimulus_freq
2017-02-05T15:10:11.131-05:00,1486325411131,1,0,8,response_freq
2017-02-05T15:10:12.805-05:00,1486325412805,0,F4,4,stimulus_freq
2017-02-05T15:10:13.245-05:00,1486325413245,1,0,8,response_freq
2017-02-05T15:10:14.702-05:00,1486325414702,0,F4,4,stimulus_freq
2017-02-05T15:10:15.164-05:00,1486325415164,1,0,8,response_freq
2017-02-05T15:10:15.972-05:00,1486325415972,0,F4,4,stimulus_freq
2017-02-05T15:10:16.428-05:00,1486325416428,1,0,8,response_freq
2017-02-05T15:10:17.705-05:00,1486325417705,0,F4,4,stimulus_freq
2017-02-05T15:10:18.119-05:00,1486325418119,1,0,8,response_freq
2017-02-05T15:10:19.553-05:00,1486325419553,0,F4,4,stimulus_freq
2017-02-05T15:10:19.986-05:00,1486325419986,1,0,8,response_freq
2017-02-05T15:10:22.050-05:00,1486325422050,0,F4,4,stimulus_freq
2017-02-05T15:10:22.501-05:00,1486325422501,1,0,8,response_freq
2017-02-05T15:10:24.037-05:00,1486325424037,0,F4,4,stimulus_freq
2017-02-05T15:10:24.469-05:00,1486325424469,1,0,8,response_freq
2017-02-05T15:10:26.686-05:00,1486325426686,0,F4,4,stimulus_freq
2017-02-05T15:10:27.116-05:00,1486325427116,1,0,8,response_freq
2017-02-05T15:10:28.649-05:00,1486325428649,0,G5,6,stimulus_infreq
2017-02-05T15:10:29.175-05:00,1486325429175,2,0,10,response_infreq
2017-02-05T15:10:31.562-05:00,1486325431562,0,F4,4,stimulus_freq
2017-02-05T15:10:32.095-05:00,1486325432095,1,0,8,response_freq
2017-02-05T15:10:33.713-05:00,1486325433713,0,F4,4,stimulus_freq
