type,latency
254,440199.0
4,443210.0
8,443768.0
4,444849.0
8,445269.0
4,446388.0
8,446734.0
4,448527.0
8,448869.0
4,450598.0
8,451018.0
4,451938.0
8,452299.0
4,453720.0
8,454039.0
4,455891.0
8,456144.0
4,457894.0
8,458182.0
6,459931.0
10,460434.0
4,461768.0
8,462147.0
4,463495.0
8,463833.0
4,465455.0
8,465869.0
4,467370.0
8,467736.0
6,468543.0
8,468976.0
10,469040.0
4,470242.0
8,470653.0
4,472096.0
8,472397.0
4,474168.0
8,474428.0
4,475997.0
8,476375.0
4,478065.0
8,478497.0
4,480642.0
8,481057.0
4,482205.0
10,482607.0
6,484380.0
10,484824.0
4,486457.0
8,486917.0
4,488678.0
8,489110.0
4,490941.0
8,491344.0
4,492417.0
8,492816.0
4,494136.0
8,494574.0
4,496440.0
8,496858.0
4,498512.0
8,498954.0
4,500560.0
8,500982.0
4,502846.0
8,503258.0
4,504735.0
8,505113.0
4,506543.0
8,506924.0
6,508883.0
10,509383.0
4,510523.0
8,511067.0
4,512464.0
8,512878.0
4,513640.0
8,514097.0
4,515417.0
8,515857.0
4,517819.0
8,518246.0
4,519180.0
8,519694.0
4,521294.0
8,521697.0
4,523298.0
8,523795.0
4,525249.0
8,525703.0
4,527041.0
8,527506.0
4,529066.0
8,529427.0
4,531503.0
8,531932.0
6,533262.0
10,533725.0
4,535380.0
8,535863.0
4,537537.0
8,537977.0
4,539434.0
8,539896.0
4,540704.0
8,541160.0
4,542437.0
8,542851.0
4,544285.0
8,544718.0
4,546782.0
8,547233.0
4,548769.0
8,549201.0
4,551418.0
8,551848.0
6,553381.0
10,553907.0
4,556294.0
8,556827.0
4,558445.0
8,558875.0
4,560272.0
8,560652.0
4,562269.0
8,562572.0
4,563824.0
8,564257.0
4,565939.0
8,566308.0
4,568576.0
8,568963.0
4,570148.0
8,570554.0
4,572132.0
8,572559.0
4,574019.0
8,574400.0
6,575962.0
10,576459.0
4,577402.0
8,577917.0
4,579398.0
8,579814.0
4,581513.0
8,581968.0
4,583305.0
8,583750.0
4,585094.0
8,585530.0
4,587642.0
8,588114.0
4,589577.0
8,590006.0
4,591733.0
8,592140.0
4,594009.0
8,594464.0
4,596436.0
8,596870.0
4,598221.0
8,598641.0
6,599520.0
10,600056.0
4,601667.0
8,602188.0
4,603452.0
8,603901.0
4,605555.0
8,605994.0
4,607127.0
8,607572.0
4,609919.0
8,610391.0
4,612299.0
8,612754.0
6,614616.0
10,615082.0
4,617204.0
8,617671.0
4,619853.0
8,620276.0
4,621589.0
8,622071.0
4,623098.0
8,623549.0
4,624967.0
8,625402.0
4,627144.0
8,627536.0
4,629249.0
8,629715.0
6,631710.0
10,632198.0
4,633793.0
8,634236.0
4,635670.0
8,636097.0
4,638063.0
8,638489.0
4,639710.0
8,640075.0
4,642114.0
8,642519.0
4,644042.0
8,644448.0
4,646154.0
8,646534.0
4,648006.0
8,648396.0
4,650003.0
8,650448.0
6,651627.0
10,652118.0
4,653323.0
8,653992.0
4,655500.0
8,655942.0
4,657529.0
8,657982.0
4,659769.0
8,660137.0
4,662240.0
8,662683.0
4,663510.0
8,663997.0
4,664496.0
8,665023.0
4,666742.0
8,667188.0
4,668705.0
8,669042.0
6,671064.0
10,671504.0
4,673306.0
8,673742.0
4,675417.0
8,675809.0
4,677358.0
8,677629.0
4,679202.0
8,679515.0
4,681567.0
8,681873.0
4,683123.0
8,683441.0
4,684707.0
8,685129.0
4,686867.0
8,687242.0
4,689132.0
8,689557.0
4,691140.0
8,691506.0
4,692646.0
8,693035.0
4,694550.0
8,694852.0
4,696588.0
8,696959.0
6,698469.0
10,698947.0
4,700355.0
8,700768.0
4,702181.0
8,702540.0
4,704133.0
8,704487.0
4,706162.0
8,706517.0
4,707715.0
8,708087.0
4,709661.0
8,710108.0
4,711245.0
8,711635.0
4,713440.0
8,713864.0
6,715897.0
10,716349.0
4,718396.0
8,718872.0
4,720381.0
8,720829.0
4,722438.0
8,722834.0
4,724507.0
8,724932.0
4,726430.0
8,726870.0
6,728578.0
10,729086.0
4,730512.0
8,730976.0
4,732596.0
8,732967.0
4,735132.0
8,735522.0
4,737085.0
8,737432.0
4,739604.0
8,740034.0
4,741672.0
8,742117.0
4,743364.0
8,743765.0
4,745265.0
8,745700.0
4,747366.0
8,747880.0
4,749936.0
8,750387.0
4,751552.0
8,752068.0
4,753903.0
8,754377.0
4,756528.0
8,756995.0
4,758519.0
8,758973.0
6,760358.0
10,760859.0
4,762126.0
8,762541.0
4,764185.0
8,764643.0
4,766425.0
8,767036.0
255,768011.0
